kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.05,10.0,1.2,0.2,0.01,0,0.329453454488918,0.029061386600190846,0.11987586841713165,0.32955845402316647
0.5,0.05,10.0,1.2,0.2,0.01,1,0.3408273957369444,0.04766112708725037,0.11862336521493885,0.3407355374266861
0.5,0.05,10.0,1.2,0.2,0.01,2,0.29605000594788156,0.034805200121441525,0.11757638181640452,0.2989696510215845
0.5,0.05,10.0,1.2,0.2,0.01,3,0.3105920832518742,0.03528754546906394,0.11753118812823783,0.30910397046559457
0.5,0.05,10.0,1.2,0.2,0.01,4,0.4533237799465937,0.06541227811028237,0.12114467164362658,0.44940455581376365
0.5,0.05,10.0,1.2,0.2,0.01,5,0.4081436297730363,0.02636468630638175,0.11926604755157912,0.4074815863083507
0.5,0.05,10.0,1.2,0.3,0.01,0,0.2753098141025283,0.02892466623113378,0.11987586841713165,0.2743278178304269
0.5,0.05,10.0,1.2,0.3,0.01,1,0.3085263755193125,0.03203957013865418,0.11862336521493885,0.3106789473367946
0.5,0.05,10.0,1.2,0.3,0.01,2,0.323601313063138,0.049552761193710326,0.11757638181640452,0.3347312450321956
0.5,0.05,10.0,1.2,0.3,0.01,3,0.31656918498339875,0.03710405914551248,0.11753118812823783,0.3310853255168928
0.5,0.05,10.0,1.2,0.3,0.01,4,0.3845886927576804,0.0448213660028809,0.12114467164362658,0.3865725293453589
0.5,0.05,10.0,1.2,0.3,0.01,5,0.31748463070172767,0.047935682194468074,0.11926604755157912,0.3202743230433594
0.5,0.1,5.0,0.8,0.1,0.01,0,0.28141891738781527,0.04219565943821909,0.11987586841713165,0.28079816049145784
0.5,0.1,5.0,0.8,0.1,0.01,1,0.311874809762016,0.032975365275819415,0.11862336521493885,0.3136428204064366
0.5,0.1,5.0,0.8,0.1,0.01,2,0.3156436935752871,0.05516733158922101,0.11757638181640452,0.3106184400042124
0.5,0.1,5.0,0.8,0.1,0.01,3,0.32940668191902234,0.045073385405509765,0.11753118812823783,0.3275253743438762
0.5,0.1,5.0,0.8,0.1,0.01,4,0.37122036811253584,0.030138948300405522,0.12114467164362658,0.370976876549558
0.5,0.1,5.0,0.8,0.1,0.01,5,0.2779729667863033,0.026718705544497443,0.11926604755157912,0.2792407964983357
0.5,0.1,5.0,0.8,0.2,0.01,0,0.25287012677312515,0.04958168519190127,0.11974162910625395,0.2536828668630568
0.5,0.1,5.0,0.8,0.2,0.01,1,0.2787644980341717,0.04205125401636981,0.11862336521493885,0.2780309895144003
0.5,0.1,5.0,0.8,0.2,0.01,2,0.2528602859421014,0.05046767075452285,0.11757638181640452,0.25387368447197783
0.5,0.1,5.0,0.8,0.2,0.01,3,0.22060610780649645,0.03199818002322766,0.11753118812823783,0.21966054888386444
0.5,0.1,5.0,0.8,0.2,0.01,4,0.2554216684303222,0.09924770352603338,0.12114467164362658,0.31805371556448414
0.5,0.1,5.0,0.8,0.2,0.01,5,0.24752657243171683,0.07327311009888879,0.11926604755157912,0.24600459296226374
0.5,0.1,5.0,0.8,0.3,0.01,0,0.21335404286283285,0.061289865841924605,0.1182693149579558,0.22013696062001864
0.5,0.1,5.0,0.8,0.3,0.01,1,0.2061848718507788,0.04653490692027701,0.11862336521493885,0.20830018734353575
0.5,0.1,5.0,0.8,0.3,0.01,2,0.16509543959895412,0.04429269267817331,0.11757638181640452,0.18419036636942454
